National_VMV_Code,Parameter type code,Long name,Parameter list value,Unique parameter list values
7440,3639_00_00_00_14,Acenaphthenes-C1,Water - Hydrocarbons,
7441,3637_00_00_00_14,Benz[a]anthracenes/chrysenes-C1,Water - Hydrocarbons,
7442,4832_00_00_00_14,Benzopyrenes/perylenes-C1,Water - Hydrocarbons,
7443,3640_00_00_00_14,Biphenyls-C1,Water - Hydrocarbons,
7444,4400_00_00_00_14,Dibenzothiophenes-C1,Water - Hydrocarbons,
7445,4401_00_00_00_14,Fluoranthenes/pyrenes-C1,Water - Hydrocarbons,
7446,1429_00_00_00_14,Naphthalenes-C1,Water - Hydrocarbons,
7447,1431_00_00_00_14,Phenanthrenes/anthracenes-C1,Water - Hydrocarbons,
7448,4066_00_00_00_14,Benzo(a)anthracenes/chrysenes-C2,Water - Hydrocarbons,
7449,4833_00_00_00_14,Benzopyrenes/perylenes-C2,Water - Hydrocarbons,
7450,4050_00_00_00_14,Biphenyls-C2,Water - Hydrocarbons,
7451,4053_00_00_00_14,Dibenzothiophenes-C2,Water - Hydrocarbons,
7452,4405_00_00_00_14,Fluoranthenes/pyrenes-C2,Water - Hydrocarbons,
7453,4048_00_00_00_14,Naphthalenes-C2,Water - Hydrocarbons,
7454,4055_00_00_00_14,Phenanthrenes/anthracenes-C2,Water - Hydrocarbons,
7455,3635_00_00_00_14,benz(a)anthracenes/chrysenes-C3,Water - Hydrocarbons,
7456,4834_00_00_00_14,Benzopyrenes/perylenes-C3,Water - Hydrocarbons,
7457,4054_00_00_00_14,Dibenzothiophenes-C3,Water - Hydrocarbons,
7458,4408_00_00_00_14,Fluoranthenes/pyrenes-C3,Water - Hydrocarbons,
7459,4049_00_00_00_14,Naphthalenes-C3,Water - Hydrocarbons,
7460,1432_00_00_00_14,Phenanthrenes/anthracenes-C3,Water - Hydrocarbons,
7461,3636_00_00_00_14,benz(a)anthracenes/chrysenes-C4,Water - Hydrocarbons,
7462,4835_00_00_00_14,Benzopyrenes/perylenes-C4,Water - Hydrocarbons,
7463,4410_00_00_00_14,Fluoranthenes/pyrenes-C4,Water - Hydrocarbons,
