Hydstra code,Long name,Name,Analysis method (Short name),Unit short name
6637,"Indeno(1,2,3-c,d)pyrene",140_00_00_01_02,674,WISKI_NGG
7736,"Indeno(1,2,3-c,d)pyrene",140_00_00_01_02,693,MIGG
102551,"Indeno(1,2,3-c,d)pyrene",140_00_00_01_02,2880,WISKI_NGG
102283,"Indeno(1,2,3-c,d)pyrene",140_00_00_01_02,2869,WISKI_NGG
101318,"Indeno(1,2,3-c,d)pyrene",140_00_00_01_02,2782,MIGG
96564,"Indeno(1,2,3-c,d)pyrene",140_00_00_01_02,2065,WISKI_NGG
48849,"Indeno(1,2,3-c,d)pyrene",140_00_00_01_02,3222,WISKI_NGG
108575,"Indeno(1,2,3-c,d)pyrene",140_00_00_01_02,4204,WISKI_NGG
15452,"Indeno(1,2,3-c,d)pyrene",140_00_00_01_02,4447,WISKI_NGG
15459,"Dibenzo(a,h)anthracene OR Dibenz(a,h)anthracene",212_00_00_01_02,4447,WISKI_NGG
59860,"Dibenzo(a,h)anthracene OR Dibenz(a,h)anthracene",212_00_00_01_02,4261,UGKG
108580,"Dibenzo(a,h)anthracene OR Dibenz(a,h)anthracene",212_00_00_01_02,4204,WISKI_NGG
48857,"Dibenzo(a,h)anthracene OR Dibenz(a,h)anthracene",212_00_00_01_02,3222,WISKI_NGG
101319,"Dibenzo(a,h)anthracene OR Dibenz(a,h)anthracene",212_00_00_01_02,2782,MIGG
102284,"Dibenzo(a,h)anthracene OR Dibenz(a,h)anthracene",212_00_00_01_02,2869,WISKI_NGG
102552,"Dibenzo(a,h)anthracene OR Dibenz(a,h)anthracene",212_00_00_01_02,2880,WISKI_NGG
7733,"Dibenzo(a,h)anthracene OR Dibenz(a,h)anthracene",212_00_00_01_02,693,MIGG
1561,"Dibenzo(a,h)anthracene OR Dibenz(a,h)anthracene",212_00_00_01_02,4208,WISKI_NGG
488,"Dibenzo(a,h)anthracene OR Dibenz(a,h)anthracene",212_00_00_01_02,200,MIGG
299,"Dibenzo(a,h)anthracene OR Dibenz(a,h)anthracene",212_00_00_01_02,2303,WISKI_NGG
300,"Benzo(g,h,i)perylene",132_00_00_01_02,2303,WISKI_NGG
482,"Benzo(g,h,i)perylene",132_00_00_01_02,200,MIGG
1563,"Benzo(g,h,i)perylene",132_00_00_01_02,4208,WISKI_NGG
7730,"Benzo(g,h,i)perylene",132_00_00_01_02,693,MIGG
6628,"Benzo(g,h,i)perylene",132_00_00_01_02,674,WISKI_NGG
102553,"Benzo(g,h,i)perylene",132_00_00_01_02,2880,WISKI_NGG
102285,"Benzo(g,h,i)perylene",132_00_00_01_02,2869,WISKI_NGG
101320,"Benzo(g,h,i)perylene",132_00_00_01_02,2782,MIGG
96565,"Benzo(g,h,i)perylene",132_00_00_01_02,2065,WISKI_NGG
48847,"Benzo(g,h,i)perylene",132_00_00_01_02,3222,WISKI_NGG
108573,"Benzo(g,h,i)perylene",132_00_00_01_02,4204,WISKI_NGG
15449,"Benzo(g,h,i)perylene",132_00_00_01_02,4447,WISKI_NGG
59858,"Benzo(g,h,i)perylene",132_00_00_01_02,4261,UGKG
15186,Dimethyl phthalate (DMP),108_00_00_01_02,4437,WISKI_NGG
301,Dimethyl phthalate (DMP),108_00_00_01_02,2303,WISKI_NGG
302,Diethyl phthalate (DEP),295_00_00_01_02,2303,WISKI_NGG
15183,Diethyl phthalate (DEP),295_00_00_01_02,4437,WISKI_NGG
303,Di-n-butyl phthalate (DBP),297_00_00_01_02,2303,WISKI_NGG
15187,Di-n-butyl phthalate (DBP),297_00_00_01_02,4437,WISKI_NGG
304,Butylbenzyl phthalate (BBP),300_00_00_01_02,2303,WISKI_NGG
15175,Butylbenzyl phthalate (BBP),300_00_00_01_02,4437,WISKI_NGG
305,Atrazine,133_00_00_01_02,2303,WISKI_NGG
48936,Atrazine,133_00_00_01_02,303,MIGG
58167,Atrazine,133_00_00_01_02,4235,WISKI_NGG
96906,Atrazine,133_00_00_01_02,2339,WISKI_NGG
